ABCDE7 --> FGHIJ7
ABCDEF --> FGHIJK
ABCDEF --> FGHIJK
ABCDEF --> FGHIJK
ABCDEF --> FGHIJK
ABCDEx --> FGHIJc
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
 --> 
ABCDEX --> FGHIJC
 --> 
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
ABCDEX --> FGHIJC
66 --> 66
// --> //
ABCDEX --> FGHIJC
// --> //
ABCDEX --> FGHIJC
ABCDEFgh --> FGHIJKlm
ABCDEFgh --> FGHIJKlm
ABCDEFgh --> FGHIJKlm
ABCDEFgh --> FGHIJKlm
